"","Site","Sample_ID","Replica","Season.x","Sampling_gear","Sub.replica","Nb_particules","ID_particle","Shape","Color","IR_ID","Weight_mg","Length_mm","Largeur_mm","Area","Perim","L","H","W","CSF","Spher","Shapes","Code_station","Replicate","Season.y","Volume","Debit..m3.s.","NTU","river","IR_ID_bis","Flood","Sampling_event"
"71","GSG","11-2-C3",2,"C3","FILET","B",22,"30-E12",3,"White","PS",0.79,4.826,0.161,10.843,13.349,4.826,0.161,0.33,0.12757784070509,0.131640157608104,"fragment","GSG",2,"C3",85.48992,242,8.4,"Garonne","PS","Yes","B4"
"72","GSG","11-2-C3",2,"C3","FILET","B",22,"30-F1",3,"Red","PS",0.5,3.195,2.74,5.433,8.853,3.195,2.74,0.33,2.66844442093851,0.445766669420592,"fragment","GSG",2,"C3",85.48992,242,8.4,"Garonne","PS","Yes","B4"
"73","GSG","11-2-C3",2,"C3","FILET","B",22,"30-F6",5,"Red","PS",2.35,2.854,3.492,6.087,8.886,2.854,3.492,3.173,1.16041200890759,1.10801453243636,"sphere","GSG",2,"C3",85.48992,242,8.4,"Garonne","PS","Yes","B4"
"74","GSG","11-2-C3",2,"C3","FILET","B",22,"30-F7",5,"Yellow","PS",0.229,2.525,2.843,3.194,6.628,2.525,2.843,2.684,1.09208115437056,1.06172538739487,"sphere","GSG",2,"C3",85.48992,242,8.4,"Garonne","PS","Yes","B4"
"75","GSG","11-2-C3",2,"C3","FILET","B",22,"30-F10",3,"Red","PS",0.431,4.489,3.034,9.304,14.28,4.489,3.034,0.33,2.4927791517861,0.367629286915937,"fragment","GSG",2,"C3",85.48992,242,8.4,"Garonne","PS","Yes","B4"
"76","GSG","11-1-C3",1,"C3","FILET","A",30,"30-F12",5,"Red","PS",1.974,3.53,0.824,9.113,10.848,3.53,0.824,2.177,0.297242321459825,0.524097486214777,"sphere","GSG",1,"C3",42.5088,242,8.4,"Garonne","PS","Yes","B4"
"77","GSG","11-1-C3",1,"C3","FILET","A",30,"30-G2",5,"White","PS",1.817,3.471,1.474,9.068,10.757,3.471,1.474,2.4725,0.503155270862352,0.671286920660281,"sphere","GSG",1,"C3",42.5088,242,8.4,"Garonne","PS","Yes","B4"
"78","GSG","11-1-C3",1,"C3","FILET","A",30,"30-G8",3,"White","PS",0.11,2.774,0.432,3.552,7.502,2.774,0.432,0.33,0.451516419864319,0.264603097854292,"fragment","GSG",1,"C3",42.5088,242,8.4,"Garonne","PS","Yes","B4"
"79","GSG","11-1-C3",1,"C3","FILET","A",30,"30-G11",1,"Red","PS",3.262,2.575,3.892,0.148,5.821,2.575,3.892,3.892,1.22941299435121,1.31703423899131,"line","GSG",1,"C3",42.5088,242,8.4,"Garonne","PS","Yes","B4"
"80","GSG","11-1-C3",1,"C3","FILET","A",30,"30-H4",5,"White","PS",2.285,3.527,2.34,9.177,10.858,3.527,2.34,2.9335,0.727478363734971,0.820219978761888,"sphere","GSG",1,"C3",42.5088,242,8.4,"Garonne","PS","Yes","B4"
