"","Site","Sample_ID","Replica","Season.x","Sampling_gear","Sub.replica","Nb_particules","ID_particle","Shape","Color","IR_ID","Weight_mg","Length_mm","Largeur_mm","Area","Perim","L","H","W","CSF","Spher","Shapes","Code_station","Replicate","Season.y","Volume","Debit..m3.s.","NTU","river","IR_ID_bis","Flood","Sampling_event"
"63","GSG","11-2-C",2,"C","FILET","A",21,"40-A6",3,"Blue","PE",0.683,2.849,2.714,6.093,8.836,2.849,2.714,0.33,2.79902417053936,0.47963731326765,"fragment","GSG",2,"C",54.17412,174,6.8,"Garonne","PE","No","B1"
"64","GSG","11-2-C",2,"C","FILET","A",21,"40-A9",3,"Black","PE",0.158,3.893,3.831,11.566,12.202,3.893,3.831,0.33,3.37997104761938,0.43693727396793,"fragment","GSG",2,"C",54.17412,174,6.8,"Garonne","PE","No","B1"
"65","GSG","11-2-C",2,"C","FILET","A",21,"40-A12",2,"Yellow","PE",0.08,0.707,0.069,0.082,1.648,0.707,0.069,0.08,0.290131170647083,0.22268967598864,"film","GSG",2,"C",54.17412,174,6.8,"Garonne","PE","No","B1"
"66","GSG","11-1-D",1,"D","FILET","A",14,"41-B8",3,"Green","PE",0.036,3.594,1.432,3.181,10.383,3.594,1.432,0.33,1.3149129774799,0.331971094847378,"fragment","GSG",1,"D",69.03744,80.1,5.9,"Garonne","PE","No","B6"
"67","GSG","11-1-D",1,"D","FILET","A",14,"41-B12",5,"White","PE",0,2.65,1.435,2.713,6.953,2.65,1.435,2.0425,0.616805065225282,0.747321378343045,"sphere","GSG",1,"D",69.03744,80.1,5.9,"Garonne","PE","No","B6"
"68","MUG","6-2-D",2,"D","FILET","A",4,"41-D4",3,"Yellow","PE",0.082,1.231,0.119,0.155,3.73,1.231,0.119,0.33,0.186707156576587,0.295924960605449,"fragment","MUG",2,"D",67.46304,82.4,3,"Garonne","PE","No","B6"
"69","GSG","11-3-D",3,"D","FILET","A",4,"41-F12",3,"Black","PE",1.089,1.837,0.44,0.449,3.863,1.837,0.44,0.33,0.565120586640683,0.350415064101829,"fragment","GSG",3,"D",66.28224,80.1,5.9,"Garonne","PE","No","B6"
"70","MUG","6-1-D",1,"D","FILET","A",6,"42-H8",3,"Green","PE",0,4.858,3.439,10.601,13.382,4.858,3.439,0.33,2.71610434726016,0.363644506855298,"fragment","MUG",1,"D",69.19488,82.4,3,"Garonne","PE","No","B6"
"71","MUG","6-1-D",1,"D","FILET","A",6,"42-H9",3,"White","PE",1.771,1.844,0,2.531,6.154,1.844,0,0.33,0,0,"fragment","MUG",1,"D",69.19488,82.4,3,"Garonne","PE","No","B6"
"72","MUG","6-1-D",1,"D","FILET","A",6,"42-H11",4,"Black","PE",3.169,1.776,1.346,1.972,5.329,1.776,1.346,0.888,1.07180825166339,0.723642448218127,"pellet","MUG",1,"D",69.19488,82.4,3,"Garonne","PE","No","B6"
